id	type	modified	language	license	datasetID	institutionCode	ownerInstitutionCode	eventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	waterBody	country	countryCode	stateProvince	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	georeferenceProtocol
Station_96_Date_15SEP1998:12:45:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_15SEP1998:12:45:00.000	Bag Seine	0.03	hectares	180 seconds	1998-09-15 12:45:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.2	0.7	28.134722	-96.998611	WGS84	100	Handheld GPS
Station_96_Date_08APR1994:10:43:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_08APR1994:10:43:00.000	Bag Seine	0.03	hectares	180 seconds	1994-04-08 10:43:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.1	0.4	28.134722	-97	WGS84	100	Handheld GPS
Station_96_Date_19MAY1998:19:27:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_19MAY1998:19:27:00.000	Bag Seine	0.03	hectares	120 seconds	1998-05-19 19:27:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.4	0.6	28.134722	-97	WGS84	100	Handheld GPS
Station_96_Date_11MAY2006:18:20:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_11MAY2006:18:20:00.000	Bag Seine	0.03	hectares	120 seconds	2006-05-11 18:20:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.1	0.3	28.135833	-96.998889	WGS84	100	Handheld GPS
Station_96_Date_07NOV2006:14:42:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_07NOV2006:14:42:00.000	Bag Seine	0.03	hectares	120 seconds	2006-11-07 14:42:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.3	0.5	28.135833	-96.998889	WGS84	100	Handheld GPS
Station_96_Date_28OCT2008:16:07:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_28OCT2008:16:07:00.000	Bag Seine	0.03	hectares	180 seconds	2008-10-28 16:07:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.3	0.4	28.135833	-96.999444	WGS84	100	Handheld GPS
Station_96_Date_14FEB1995:11:00:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_14FEB1995:11:00:00.000	Bag Seine	0.03	hectares	120 seconds	1995-02-14 11:00:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.5	28.136111	-96.997222	WGS84	100	Handheld GPS
Station_96_Date_26AUG1996:09:57:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_26AUG1996:09:57:00.000	Bag Seine	0.03	hectares	180 seconds	1996-08-26 09:57:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.5	0.6	28.136111	-96.998611	WGS84	100	Handheld GPS
Station_96_Date_09JAN1996:15:12:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_09JAN1996:15:12:00.000	Bag Seine	0.03	hectares	120 seconds	1996-01-09 15:12:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.4	28.136111	-96.998611	WGS84	100	Handheld GPS
Station_96_Date_03MAY2007:16:50:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_03MAY2007:16:50:00.000	Bag Seine	0.03	hectares	120 seconds	2007-05-03 16:50:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.1	0.5	28.136111	-96.998611	WGS84	100	Handheld GPS
Station_96_Date_08JUL2004:13:21:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_08JUL2004:13:21:00.000	Bag Seine	0.03	hectares	120 seconds	2004-07-08 13:21:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.2	0.5	28.136111	-96.999167	WGS84	100	Handheld GPS
Station_96_Date_10MAR2005:09:02:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_10MAR2005:09:02:00.000	Bag Seine	0.03	hectares	120 seconds	2005-03-10 09:02:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.3	0.4	28.136111	-96.999167	WGS84	100	Handheld GPS
Station_96_Date_02AUG2007:11:04:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_02AUG2007:11:04:00.000	Bag Seine	0.03	hectares	120 seconds	2007-08-02 11:04:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.4	0.8	28.136111	-96.999167	WGS84	100	Handheld GPS
Station_96_Date_12JUN1989:13:22:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_12JUN1989:13:22:00.000	Bag Seine	0.03	hectares	120 seconds	1989-06-12 13:22:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.4	0.5	28.136111	-97	WGS84	100	Handheld GPS
Station_96_Date_07MAY1990:17:49:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_07MAY1990:17:49:00.000	Bag Seine	0.03	hectares	120 seconds	1990-05-07 17:49:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.6	28.136111	-97	WGS84	100	Handheld GPS
Station_96_Date_14OCT1993:11:12:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_14OCT1993:11:12:00.000	Bag Seine	0.03	hectares	120 seconds	1993-10-14 11:12:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.3	0.5	28.136111	-97	WGS84	100	Handheld GPS
Station_96_Date_17JUN2002:17:17:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_17JUN2002:17:17:00.000	Bag Seine	0.03	hectares	120 seconds	2002-06-17 17:17:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.4	0.4	28.136389	-96.996667	WGS84	100	Handheld GPS
Station_96_Date_01OCT2007:18:05:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_96_Date_01OCT2007:18:05:00.000	Bag Seine	0.03	hectares	120 seconds	2007-10-01 18:05:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.6	0.7	28.136389	-96.996667	WGS84	100	Handheld GPS
Station_100_Date_18APR1994:14:36:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_100_Date_18APR1994:14:36:00.000	Bag Seine	0.03	hectares	180 seconds	1994-04-18 14:36:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.3	0.4	28.134722	-96.918056	WGS84	100	Handheld GPS
Station_100_Date_26AUG2003:11:42:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_100_Date_26AUG2003:11:42:00.000	Bag Seine	0.03	hectares	120 seconds	2003-08-26 11:42:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.4	0.5	28.1375	-96.920556	WGS84	100	Handheld GPS
Station_101_Date_27SEP1988:12:02:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_101_Date_27SEP1988:12:02:00.000	Bag Seine	0.03	hectares	60 seconds	1988-09-27 12:02:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.4	28.133333	-96.911111	WGS84	100	Handheld GPS
Station_101_Date_01MAY1995:18:44:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_101_Date_01MAY1995:18:44:00.000	Bag Seine	0.03	hectares	120 seconds	1995-05-01 18:44:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.4	28.133333	-96.9125	WGS84	100	Handheld GPS
Station_101_Date_26FEB1992:11:31:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_101_Date_26FEB1992:11:31:00.000	Bag Seine	0.03	hectares	120 seconds	1992-02-26 11:31:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.2	28.133333	-96.916667	WGS84	100	Handheld GPS
Station_101_Date_22AUG1995:11:29:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_101_Date_22AUG1995:11:29:00.000	Bag Seine	0.03	hectares	180 seconds	1995-08-22 11:29:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.4	0.7	28.134722	-96.909722	WGS84	100	Handheld GPS
Station_101_Date_05OCT1987:17:09:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_101_Date_05OCT1987:17:09:00.000	Bag Seine	0.03	hectares	60 seconds	1987-10-05 17:09:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.2	0.5	28.134722	-96.915278	WGS84	100	Handheld GPS
Station_101_Date_24MAR1998:10:20:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_101_Date_24MAR1998:10:20:00.000	Bag Seine	0.03	hectares	120 seconds	1998-03-24 10:20:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.5	28.1375	-96.908333	WGS84	100	Handheld GPS
Station_121_Date_11FEB1987:14:34:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_11FEB1987:14:34:00.000	Bag Seine	0.03	hectares	120 seconds	1987-02-11 14:34:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.1	0.3	28.129167	-97.001389	WGS84	100	Handheld GPS
Station_121_Date_06AUG1985:12:01:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_06AUG1985:12:01:00.000	Bag Seine	0.03	hectares	120 seconds	1985-08-06 12:01:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.4	28.130556	-97.001389	WGS84	100	Handheld GPS
Station_121_Date_08JAN1985:12:48:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_08JAN1985:12:48:00.000	Bag Seine	0.03	hectares	60 seconds	1985-01-08 12:48:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.2	28.130556	-97.001389	WGS84	100	Handheld GPS
Station_121_Date_28MAY1986:10:04:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_28MAY1986:10:04:00.000	Bag Seine	0.03	hectares	60 seconds	1986-05-28 10:04:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.4	28.130556	-97.001389	WGS84	100	Handheld GPS
Station_121_Date_07MAY1987:12:25:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_07MAY1987:12:25:00.000	Bag Seine	0.03	hectares	180 seconds	1987-05-07 12:25:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.3	28.130556	-97.001389	WGS84	100	Handheld GPS
Station_121_Date_07MAR1988:15:34:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_07MAR1988:15:34:00.000	Bag Seine	0.03	hectares	120 seconds	1988-03-07 15:34:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.4	28.130556	-97.001389	WGS84	100	Handheld GPS
Station_121_Date_09JAN1992:10:13:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_09JAN1992:10:13:00.000	Bag Seine	0.03	hectares	120 seconds	1992-01-09 10:13:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.4	28.130556	-97.001389	WGS84	100	Handheld GPS
Station_121_Date_10NOV1993:15:17:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_10NOV1993:15:17:00.000	Bag Seine	0.03	hectares	120 seconds	1993-11-10 15:17:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.2	0.4	28.130556	-97.001389	WGS84	100	Handheld GPS
Station_121_Date_14JAN1994:12:08:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_14JAN1994:12:08:00.000	Bag Seine	0.03	hectares	120 seconds	1994-01-14 12:08:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.4	28.130556	-97.001389	WGS84	100	Handheld GPS
Station_121_Date_07APR1995:10:09:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_07APR1995:10:09:00.000	Bag Seine	0.03	hectares	120 seconds	1995-04-07 10:09:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.4	28.130556	-97.001389	WGS84	100	Handheld GPS
Station_121_Date_22APR1998:12:07:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_22APR1998:12:07:00.000	Bag Seine	0.03	hectares	120 seconds	1998-04-22 12:07:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.6	28.130556	-97.001389	WGS84	100	Handheld GPS
Station_121_Date_11OCT1988:11:30:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_11OCT1988:11:30:00.000	Bag Seine	0.03	hectares	120 seconds	1988-10-11 11:30:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.4	28.130556	-97.002778	WGS84	100	Handheld GPS
Station_121_Date_29AUG2001:14:22:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_29AUG2001:14:22:00.000	Bag Seine	0.03	hectares	120 seconds	2001-08-29 14:22:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.3	28.130833	-97	WGS84	100	Handheld GPS
Station_121_Date_25JAN1999:14:08:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_25JAN1999:14:08:00.000	Bag Seine	0.03	hectares	120 seconds	1999-01-25 14:08:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.1	0.3	28.130833	-97.000556	WGS84	100	Handheld GPS
Station_121_Date_23APR2002:12:58:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_23APR2002:12:58:00.000	Bag Seine	0.03	hectares	120 seconds	2002-04-23 12:58:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.1	0.3	28.131389	-97.000556	WGS84	100	Handheld GPS
Station_121_Date_19JUL2005:09:43:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_19JUL2005:09:43:00.000	Bag Seine	0.03	hectares	120 seconds	2005-07-19 09:43:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.2	0.4	28.131389	-97.000556	WGS84	100	Handheld GPS
Station_121_Date_07JUN2006:16:24:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_07JUN2006:16:24:00.000	Bag Seine	0.03	hectares	120 seconds	2006-06-07 16:24:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.3	28.131389	-97.000556	WGS84	100	Handheld GPS
Station_121_Date_02OCT2001:15:37:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_02OCT2001:15:37:00.000	Bag Seine	0.03	hectares	120 seconds	2001-10-02 15:37:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.3	28.131667	-97.000556	WGS84	100	Handheld GPS
Station_121_Date_13OCT2003:14:48:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_13OCT2003:14:48:00.000	Bag Seine	0.03	hectares	120 seconds	2003-10-13 14:48:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.1	0.3	28.131667	-97.000556	WGS84	100	Handheld GPS
Station_121_Date_28JUN2005:08:11:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_28JUN2005:08:11:00.000	Bag Seine	0.03	hectares	120 seconds	2005-06-28 08:11:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.1	0.3	28.131944	-97.000556	WGS84	100	Handheld GPS
Station_121_Date_11JUN2007:19:24:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_11JUN2007:19:24:00.000	Bag Seine	0.03	hectares	120 seconds	2007-06-11 19:24:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.2	28.131944	-97.000833	WGS84	100	Handheld GPS
Station_121_Date_05JAN2006:10:41:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_121_Date_05JAN2006:10:41:00.000	Bag Seine	0.03	hectares	120 seconds	2006-01-05 10:41:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.2	0.3	28.131944	-97.001667	WGS84	100	Handheld GPS
Station_122_Date_25OCT2000:10:04:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_122_Date_25OCT2000:10:04:00.000	Bag Seine	0.03	hectares	120 seconds	2000-10-25 10:04:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.1	0.5	28.125833	-96.983889	WGS84	100	Handheld GPS
Station_122_Date_08JUL2008:13:42:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_122_Date_08JUL2008:13:42:00.000	Bag Seine	0.03	hectares	120 seconds	2008-07-08 13:42:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0.2	0.4	28.125833	-96.984167	WGS84	100	Handheld GPS
Station_122_Date_23JUL1990:12:24:00.000	Event	2021-11-14	en	http://creativecommons.org/publicdomain/zero/1.0/legalcode	TPWD_HARC_Texas_Aransas_Bay_Bag_Seine	TPWD	HARC	Station_122_Date_23JUL1990:12:24:00.000	Bag Seine	0.03	hectares	120 seconds	1990-07-23 12:24:00	Aransas Bay	United States	US	Texas	Mission-Aransas Estuary	0	0.6	28.126389	-96.986111	WGS84	100	Handheld GPS
